Name,Description,Country,URL,Depth,Latitude,Longitude,,
Albert Head Lagoon,"A very nice dive location, very calm (No current): Good for beginers . Abundant marine life (many anemones, octopuses...).",CAN,,<60 ft,48.396016,-123.488883,,
Albion Beach,,USA,https://opendivesites.org/Albion_Beach,,39.22793,-123.770259,,
Alki Beach Junk Yard,,USA,https://opendivesites.org/Alki_Beach_Junk_Yard,,47.582854,-122.402659,,
Alki Seacrest Park (Cove 2),,USA,https://opendivesites.org/Alki_Seacrest_Park_(Cove_2),,47.588739,-122.379876,,
Anaehoomalu Beach,,,,,19.914367,-155.887443,,
Anaheim Bay Breakwater,,,,<30 ft.  ,33.735545,-118.101014,,
Anchor Bay,,USA,https://opendivesites.org/Anchor_Bay,,38.801903,-123.577347,,
Ansell Point,located about two kilometers north of Whtytecliffe Park en route to Whistler on the Sea to Sky Highway. Look for the Ansell Road turn-off and after exiting and crossing the overpass take the first street on your left which is called Citrus Wynd. Follow i,CAN,,,49.396976,-123.25217,,
Atlas Park,"The park is located in the Village of Pointe-Verte, and is built around a flooded rock quarry which is now a recreational lake for several activities including SCUBA diving. Pointe-Verte is a small fishing village located in the Acadie-Bathurst region. A",CAN,,,47.844249,-65.765039,,
Bachman’s beach,Bachman’s beach is a privately owned beach that is open to the public. This is a small cove that is easy to dive and well protected from the ocean current and wind.,CAN,,,44.406753,-64.266951,,
Back Beach,,USA,shorediving.com/Earth/USA_East/Massachusetts/Back_Beach/index.htm,,42.662161,-70.623609,0,
Back Lane Wharf,,CAN,https://lh3.googleusercontent.com/proxy/pKPdy8aEDCbxJTCt8qlPqOarArc0krkjmbBq8gASlr_ZP1eU_yGxT7Sqlw2glZFEq5azP8poqr4Ok5JxqnYxWkC-RVMza27rDbrhWvyXnSYgOCIQHDx3pACu8S8i691ANA2GRFztNazK5ru8bvKnqwUrETHTSPjoryD4C5yYfBhp912m0o33pIAlXSNqJJbVoMZ4oO2bF1l6,,44.467881,-63.714545,,
BAIE DORÉE,,CAN,,<30 ft.  ,45.982416,-75.066483,,
Baie-Comeau,,CAN,http://www.scubapedia.ca/index.php/Baie-Comeau,,49.235701,-68.073957,,
Bayswater,"There is room across from the houses and the side road to park off the highway. The top of the small cobble beach is safe to park on, but out further is soft. Water access is a short walk down the gentl",CAN,,<60 ft,44.5075,-64.056298,,
Beach Dive,Joceyln Township park,CAN,,,46.075657,-83.911164,,
Beachcomber South Wall,"Park off road near obvious trail near the Beachcomber Regional Park sign. Walk down trail to beach (nice gravel at high tide, slippery larger rocks at low tide). Enter and swim directly magnetic south, perhaps angling a little left",CAN,,<180ft ,49.310833,-124.212933,,
Bear Cove,"Heavy boat trafic durring the day..   this is really a boat launch. Just follow the Island Highway to Port Hardy, and take the turn off for the Bear Cove Highway to the B.C. Government Ferry Terminal. Also known as the Port Hardy-Bella",CAN,,<85 ft,50.72289,-127.458257,,
Bear Cove,,CAN,https://www.youtube.com/watch?v=olMDNSOUV-c,,44.538454,-63.543511,,
Beauvert Lake,,CAN,,,52.881895,-118.062794,,
Beavertail State Park,,USA,https://opendivesites.org/Fort_Wetherill,30-90ft,41.450403,-71.397658,0,
Belcarra Park,Large Parking area with short walk to picnic area and beach. Regional Park so check for park hours or drive around park to road on north side (about 10 mins more drive time) and park on roadside. Easy access to water on north side of w,CAN,,<80 ft,49.313233,-122.927866,,
Bell Grove Beach,Depth to 60ft  mud and rock bottom.,CAN,,,46.469462,-80.992899,,
Belle Sheridan,"ran aground, 7 Nov 1880 broken up and is often covered by shifting sands        get the story at http://deansdiving.ca/Belle%20Sheridan.html",CAN,,,43.998126,-77.609299,,
Bernard Ave Beach,,CAN,,,42.872217,-79.029924,,
Bernard Lake,Tea coloured water shallow water for 200 ft out (walkable)  Max depth 150ft.,CAN,,,45.77188,-79.377464,,
Bertie Bay Road,short walk to the water from road,CAN,,,42.877359,-78.990185,,
Big Bay Point,Parking is an issue,CAN,,,44.401365,-79.52418,,
Big Rock,,USA,https://opendivesites.org/Big_Rock,,34.038311,-118.606137,,
Birchy Head,,CAN,https://lh6.googleusercontent.com/proxy/j_WgoOTikOvk4FfI2oqYAtsyc2Ovld0GCu_922hzxlIlaGzRl1EuJFvVewYrEuRRthTAJbg9-JqhljbmYB_KRHatTJCNiEpVekyIC8o8EJr-OZBtA0SIeHB20qB-eF1UheTchC15HK5NAIklnYUzSZGGyvk-pYAShbhC0snOmMSvq5ZIlNQH_tRMU4iNPYQ1NNCsRg,,44.568114,-64.036215,,
Bixby Creek,,USA,,,36.370998,-121.903363,,
Black Donald Lake,Old town and Graphite mine. Water levels are 45ft higher than the original lake,CAN,,,45.224883,-76.91112,,
Black Rock Beach,Black Rock Beach is the closest dive site to the Halifax TPR. It is just off the parking lot at Point Pleasant Park. Easy in and easy out and a great spot if you don't mind people gawking as you gear up in the parking lot.<br><br>Site Descrip,CAN,,,44.624348,-63.564164,,
Blue Grotto Dive Resort,,,,,29.387277,-82.486508,,3852
Blue Heron Bridge,,,https://opendivesites.org/Blue_Heron_Bridge,,26.783219,-80.041355,0,
Blue Hole,,USA,,,34.940426,-104.673178,,
Bolsa Chica State Beach,,,,<30 ft.  ,33.685725,-118.040386,,
Bottle Dump,Park along Albert St and enter here. Depth less than 15ft,CAN,,,45.905532,-77.256553,,
Bowker Lake,,CAN,http://www.scubapedia.ca/index.php/Lac_Bowker,,45.4064,-72.227033,,
Braemar Avenue,"This dive site is located at the west end of Braemar Avenue. To get to this dive site, if you are traveling from the south follow West Saanich Road north, and turn off onto Ardmore Road and follow it until it becomes Ardmore Drive.",CAN,,<70 ft,48.633766,-123.477633,,
Browns Ravine,,USA,,,38.71736,-121.102093,,
Burford Lake,Lake access through Burford Park Depths to 20ft,CAN,,,44.822595,-81.178261,,
